unique_key,created_date,complaint_category,borough,district,agency,supervisor,status,closed_date,hours_open,sla_hours,sla_breach,resolution_description
SR-2024-20000026,2024-06-14T08:07:23,Derelict Vehicle,BRONX,Mott Haven,NYPD,Lt. Marcus Webb,Closed,2024-06-14T22:24:43,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000027,2024-06-14T12:16:17,Blocked Driveway,BROOKLYN,Bed-Stuy,NYPD,Lt. Marcus Webb,Closed,2024-06-15T01:47:21,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000028,2024-06-14T12:30:40,Non-Emergency Police Matter,BRONX,Riverdale,NYPD,Lt. Marcus Webb,Closed,2024-06-14T23:41:50,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000029,2024-06-14T23:26:46,Noise - Street/Sidewalk,BRONX,Riverdale,NYPD,Lt. Marcus Webb,Closed,2024-06-15T18:39:44,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000030,2024-06-14T22:44:36,PAINT/PLASTER,STATEN ISLAND,Stapleton,HPD,Director Priya Nair,Closed,2024-06-17T16:34:53,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000031,2024-06-15T01:24:22,Noise - Residential,MANHATTAN,Harlem,NYPD,Lt. Marcus Webb,Closed,2024-06-15T08:50:11,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000032,2024-06-09T01:00:00,UNSANITARY CONDITION,BROOKLYN,Williamsburg,HPD,Director Priya Nair,Closed,2024-06-13T01:25:01,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000033,2024-06-14T21:12:31,Street Light Condition,BROOKLYN,Bed-Stuy,DOT,Dir. Samantha Chen,Closed,2024-06-16T05:39:53,,72,NO,A work order was issued for repair.
SR-2024-20000034,2024-06-14T13:13:03,HEAT/HOT WATER,BROOKLYN,Flatbush,HPD,Director Priya Nair,Open,,16.8,168,NO,
SR-2024-20000035,2024-06-14T10:08:05,HEAT/HOT WATER,QUEENS,Forest Hills,HPD,Director Priya Nair,Open,,19.9,168,NO,
SR-2024-20000036,2024-06-15T00:40:04,Water System,BROOKLYN,Bushwick,DEP,Mgr. Yvonne Blake,Open,,5.3,48,NO,
SR-2024-20000037,2024-06-11T13:00:00,HEAT/HOT WATER,BRONX,Fordham,HPD,Director Priya Nair,Closed,2024-06-13T22:29:52,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000038,2024-06-14T10:02:46,Street Condition,QUEENS,Astoria,DOT,Dir. Samantha Chen,Closed,2024-06-16T20:40:37,,72,NO,The Department of Transportation inspected and corrected the condition.
SR-2024-20000039,2024-06-10T18:00:00,Blocked Driveway,BRONX,Mott Haven,NYPD,Lt. Marcus Webb,Closed,2024-06-11T15:16:25,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000040,2024-06-09T07:00:00,Elevator,BROOKLYN,Crown Heights,DOB,Insp. Tony Marchetti,Closed,2024-06-12T09:03:28,,96,NO,A violation was issued and the owner was notified.
SR-2024-20000041,2024-06-10T05:00:00,Noise - Residential,BRONX,Fordham,NYPD,Lt. Marcus Webb,Open,,121.0,24,YES,
SR-2024-20000042,2024-06-12T20:00:00,Illegal Parking,BROOKLYN,Bed-Stuy,NYPD,Lt. Marcus Webb,Closed,2024-06-13T14:50:39,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000043,2024-06-14T15:51:17,Water System,MANHATTAN,Harlem,DEP,Mgr. Yvonne Blake,Open,,14.1,48,NO,
SR-2024-20000044,2024-06-10T05:00:00,Street Light Condition,MANHATTAN,Harlem,DOT,Dir. Samantha Chen,Open,,121.0,72,YES,
SR-2024-20000045,2024-06-14T20:47:31,UNSANITARY CONDITION,MANHATTAN,Washington Heights,HPD,Director Priya Nair,Open,,9.2,168,NO,
SR-2024-20000046,2024-06-12T06:00:00,Blocked Driveway,MANHATTAN,Washington Heights,NYPD,Lt. Marcus Webb,Closed,2024-06-13T00:03:31,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000047,2024-06-12T15:00:00,Water System,BROOKLYN,Crown Heights,DEP,Mgr. Yvonne Blake,Open,,63.0,48,YES,
SR-2024-20000048,2024-06-15T05:25:54,Blocked Driveway,MANHATTAN,Chelsea,NYPD,Lt. Marcus Webb,Closed,2024-06-15T20:13:53,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000049,2024-06-14T23:24:34,Noise - Residential,MANHATTAN,East Village,NYPD,Lt. Marcus Webb,Open,,6.6,24,NO,
SR-2024-20000050,2024-06-08T02:00:00,Noise - Residential,QUEENS,Jamaica,NYPD,Lt. Marcus Webb,Closed,2024-06-09T01:36:39,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000051,2024-06-14T15:02:40,PLUMBING,BRONX,Fordham,HPD,Director Priya Nair,Closed,2024-06-20T13:42:36,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000052,2024-06-07T11:00:00,PLUMBING,MANHATTAN,Inwood,HPD,Director Priya Nair,Closed,2024-06-10T21:43:25,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000053,2024-06-14T14:47:49,PAINT/PLASTER,QUEENS,Forest Hills,HPD,Director Priya Nair,Closed,2024-06-21T00:17:51,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000054,2024-06-08T15:00:00,Request Large Bulky Item Collection,BROOKLYN,Bushwick,DSNY,Supt. Carlos Rivera,Closed,2024-06-09T12:40:53,,48,NO,The Department of Sanitation responded and addressed the condition.
SR-2024-20000055,2024-06-15T01:18:29,PAINT/PLASTER,BROOKLYN,Flatbush,HPD,Director Priya Nair,Closed,2024-06-21T05:14:27,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000056,2024-06-14T13:12:47,HEAT/HOT WATER,QUEENS,Astoria,HPD,Director Priya Nair,Closed,2024-06-21T22:25:33,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000057,2024-06-09T05:00:00,Noise - Commercial,BROOKLYN,Bushwick,NYPD,Lt. Marcus Webb,Closed,2024-06-10T06:16:26,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000058,2024-06-14T12:24:21,Blocked Driveway,BROOKLYN,Bushwick,NYPD,Lt. Marcus Webb,Closed,2024-06-15T02:12:07,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000059,2024-06-15T05:56:18,Graffiti,BROOKLYN,Bushwick,DSNY,Supt. Carlos Rivera,Closed,2024-06-16T22:54:22,,48,NO,Item was collected during the next scheduled pickup.
SR-2024-20000060,2024-06-10T11:00:00,Request Large Bulky Item Collection,QUEENS,Jackson Heights,DSNY,Supt. Carlos Rivera,Closed,2024-06-11T14:38:35,,48,NO,The Department of Sanitation responded and addressed the condition.
SR-2024-20000061,2024-06-14T17:52:17,Illegal Parking,BROOKLYN,Bushwick,NYPD,Lt. Marcus Webb,Open,,12.1,24,NO,
SR-2024-20000062,2024-06-14T22:06:08,Illegal Parking,QUEENS,Forest Hills,NYPD,Lt. Marcus Webb,Open,,7.9,24,NO,
SR-2024-20000063,2024-06-14T19:57:36,Street Light Condition,MANHATTAN,East Village,DOT,Dir. Samantha Chen,Closed,2024-06-15T18:34:46,,72,NO,A work order was issued for repair.
SR-2024-20000064,2024-06-14T17:41:00,Graffiti,BRONX,Riverdale,DSNY,Supt. Carlos Rivera,Closed,2024-06-15T17:06:51,,48,NO,The Department of Sanitation responded and addressed the condition.
SR-2024-20000065,2024-06-14T16:11:11,Non-Emergency Police Matter,QUEENS,Jamaica,NYPD,Lt. Marcus Webb,Closed,2024-06-15T08:47:45,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000066,2024-06-08T22:00:00,PAINT/PLASTER,BROOKLYN,Bushwick,HPD,Director Priya Nair,Closed,2024-06-15T23:06:03,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000067,2024-06-15T05:18:27,Noise - Residential,BRONX,Fordham,NYPD,Lt. Marcus Webb,Open,,0.7,24,NO,
SR-2024-20000068,2024-06-14T10:54:33,Noise - Residential,QUEENS,Astoria,NYPD,Lt. Marcus Webb,Open,,19.1,24,NO,
SR-2024-20000069,2024-06-14T12:43:33,PAINT/PLASTER,STATEN ISLAND,Port Richmond,HPD,Director Priya Nair,Open,,17.3,168,NO,
SR-2024-20000070,2024-06-10T01:00:00,Noise - Commercial,BROOKLYN,Flatbush,NYPD,Lt. Marcus Webb,Closed,2024-06-11T03:08:40,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000071,2024-06-12T13:00:00,Graffiti,MANHATTAN,Harlem,DSNY,Supt. Carlos Rivera,Closed,2024-06-13T18:25:13,,48,NO,Item was collected during the next scheduled pickup.
SR-2024-20000072,2024-06-14T22:18:24,Noise - Street/Sidewalk,BROOKLYN,Williamsburg,NYPD,Lt. Marcus Webb,Closed,2024-06-15T10:21:48,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000073,2024-06-15T00:17:42,Request Large Bulky Item Collection,BROOKLYN,Flatbush,DSNY,Supt. Carlos Rivera,Closed,2024-06-16T04:19:45,,48,NO,The Department of Sanitation responded and addressed the condition.
SR-2024-20000074,2024-06-14T18:17:50,Blocked Driveway,QUEENS,Jamaica,NYPD,Lt. Marcus Webb,Open,,11.7,24,NO,
SR-2024-20000075,2024-06-14T09:13:09,Rodent,MANHATTAN,Harlem,DOHMH,Dr. James Okafor,Closed,2024-06-15T12:57:45,,72,NO,An inspection was conducted and appropriate action was taken.
SR-2024-20000076,2024-06-14T10:10:11,Blocked Driveway,BRONX,Fordham,NYPD,Lt. Marcus Webb,Closed,2024-06-14T22:19:11,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000077,2024-06-14T10:03:42,HEAT/HOT WATER,QUEENS,Jamaica,HPD,Director Priya Nair,Closed,2024-06-21T22:15:11,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000078,2024-06-14T15:06:22,Illegal Parking,QUEENS,Flushing,NYPD,Lt. Marcus Webb,Closed,2024-06-15T10:08:37,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000079,2024-06-07T09:00:00,Noise - Commercial,BROOKLYN,Flatbush,NYPD,Lt. Marcus Webb,Open,,189.0,24,YES,
SR-2024-20000080,2024-06-08T05:00:00,Non-Emergency Police Matter,BRONX,Tremont,NYPD,Lt. Marcus Webb,Open,,169.0,24,YES,
SR-2024-20000081,2024-06-07T14:00:00,Noise - Street/Sidewalk,QUEENS,Forest Hills,NYPD,Lt. Marcus Webb,Closed,2024-06-07T21:30:54,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000082,2024-06-15T02:19:06,HEAT/HOT WATER,QUEENS,Flushing,HPD,Director Priya Nair,Closed,2024-06-19T05:29:42,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000083,2024-06-10T03:00:00,PAINT/PLASTER,MANHATTAN,Harlem,HPD,Director Priya Nair,Closed,2024-06-17T07:26:36,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000084,2024-06-08T05:00:00,Blocked Driveway,BROOKLYN,Crown Heights,NYPD,Lt. Marcus Webb,Closed,2024-06-09T04:51:23,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000085,2024-06-14T13:25:09,Noise - Commercial,MANHATTAN,Chelsea,NYPD,Lt. Marcus Webb,Open,,16.6,24,NO,
SR-2024-20000086,2024-06-09T08:00:00,Noise - Commercial,BROOKLYN,Bushwick,NYPD,Lt. Marcus Webb,Closed,2024-06-10T02:35:37,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000087,2024-06-14T10:41:39,Noise - Street/Sidewalk,STATEN ISLAND,Tottenville,NYPD,Lt. Marcus Webb,Closed,2024-06-15T10:55:13,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000088,2024-06-15T01:28:49,Illegal Parking,MANHATTAN,Harlem,NYPD,Lt. Marcus Webb,Closed,2024-06-15T13:25:17,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000089,2024-06-14T18:35:01,Illegal Parking,QUEENS,Jackson Heights,NYPD,Lt. Marcus Webb,Closed,2024-06-15T11:13:45,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000090,2024-06-15T00:28:34,PLUMBING,QUEENS,Astoria,HPD,Director Priya Nair,Open,,5.5,168,NO,
SR-2024-20000091,2024-06-07T07:00:00,HEAT/HOT WATER,BRONX,Mott Haven,HPD,Director Priya Nair,Open,,191.0,168,YES,
SR-2024-20000092,2024-06-07T13:00:00,Homeless Person Assistance,BRONX,Pelham Bay,DHS,Dir. Fatima Hassan,Open,,185.0,24,YES,
SR-2024-20000093,2024-06-15T05:25:09,Noise - Residential,BRONX,Mott Haven,NYPD,Lt. Marcus Webb,Closed,2024-06-15T21:24:57,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000094,2024-06-15T05:18:47,Blocked Driveway,BROOKLYN,Crown Heights,NYPD,Lt. Marcus Webb,Closed,2024-06-16T05:33:55,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000095,2024-06-15T04:45:46,Illegal Parking,MANHATTAN,Harlem,NYPD,Lt. Marcus Webb,Closed,2024-06-15T16:44:48,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000096,2024-06-10T06:00:00,Water System,BRONX,Riverdale,DEP,Mgr. Yvonne Blake,Closed,2024-06-11T23:11:06,,48,NO,The condition was investigated and corrected.
SR-2024-20000097,2024-06-14T19:34:36,PAINT/PLASTER,BROOKLYN,Flatbush,HPD,Director Priya Nair,Closed,2024-06-18T00:58:35,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000098,2024-06-14T08:53:23,Homeless Person Assistance,BROOKLYN,Williamsburg,DHS,Dir. Fatima Hassan,Closed,2024-06-15T00:00:32,,24,NO,The individual accepted shelter placement.
SR-2024-20000099,2024-06-14T07:06:14,Homeless Person Assistance,QUEENS,Flushing,DHS,Dir. Fatima Hassan,Open,,22.9,24,NO,
SR-2024-20000100,2024-06-14T14:05:48,Blocked Driveway,BRONX,Mott Haven,NYPD,Lt. Marcus Webb,Closed,2024-06-15T03:28:35,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000101,2024-06-13T05:00:00,UNSANITARY CONDITION,BRONX,Pelham Bay,HPD,Director Priya Nair,Closed,2024-06-17T21:42:56,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000102,2024-06-11T09:00:00,Rodent,QUEENS,Astoria,DOHMH,Dr. James Okafor,Closed,2024-06-12T14:43:32,,72,NO,An inspection was conducted and appropriate action was taken.
SR-2024-20000103,2024-06-14T23:00:22,Request Large Bulky Item Collection,QUEENS,Forest Hills,DSNY,Supt. Carlos Rivera,Closed,2024-06-15T17:55:34,,48,NO,Item was collected during the next scheduled pickup.
SR-2024-20000104,2024-06-14T13:50:50,Derelict Vehicle,MANHATTAN,Inwood,NYPD,Lt. Marcus Webb,Open,,16.2,24,NO,
SR-2024-20000105,2024-06-09T04:00:00,Noise - Residential,STATEN ISLAND,New Dorp,NYPD,Lt. Marcus Webb,Closed,2024-06-09T15:53:38,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000106,2024-06-14T08:03:25,Homeless Person Assistance,BROOKLYN,Bushwick,DHS,Dir. Fatima Hassan,Closed,2024-06-15T00:17:41,,24,NO,A DHS outreach team responded and offered services.
SR-2024-20000107,2024-06-14T12:38:39,Rodent,BROOKLYN,Flatbush,DOHMH,Dr. James Okafor,Open,,17.4,72,NO,
SR-2024-20000108,2024-06-14T12:08:23,Derelict Vehicle,QUEENS,Jackson Heights,NYPD,Lt. Marcus Webb,Open,,17.9,24,NO,
SR-2024-20000109,2024-06-08T13:00:00,HEAT/HOT WATER,QUEENS,Jamaica,HPD,Director Priya Nair,Closed,2024-06-13T04:30:11,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000110,2024-06-12T05:00:00,Noise - Street/Sidewalk,BROOKLYN,Bed-Stuy,NYPD,Lt. Marcus Webb,Closed,2024-06-13T06:43:38,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000111,2024-06-14T17:26:44,Blocked Driveway,QUEENS,Flushing,NYPD,Lt. Marcus Webb,Open,,12.6,24,NO,
SR-2024-20000112,2024-06-07T10:00:00,Rodent,BROOKLYN,Bushwick,DOHMH,Dr. James Okafor,Closed,2024-06-09T14:45:40,,72,NO,An inspection was conducted and appropriate action was taken.
SR-2024-20000113,2024-06-14T14:02:07,HEAT/HOT WATER,MANHATTAN,Washington Heights,HPD,Director Priya Nair,Open,,16.0,168,NO,
SR-2024-20000114,2024-06-11T03:00:00,Blocked Driveway,QUEENS,Flushing,NYPD,Lt. Marcus Webb,Closed,2024-06-11T14:25:06,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000115,2024-06-14T23:20:25,Blocked Driveway,MANHATTAN,Washington Heights,NYPD,Lt. Marcus Webb,Closed,2024-06-15T13:34:54,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000116,2024-06-15T03:10:47,Blocked Driveway,BROOKLYN,Bed-Stuy,NYPD,Lt. Marcus Webb,Open,,2.8,24,NO,
SR-2024-20000117,2024-06-09T00:00:00,Water System,BRONX,Fordham,DEP,Mgr. Yvonne Blake,Open,,150.0,48,YES,
SR-2024-20000118,2024-06-14T23:08:32,Illegal Parking,BRONX,Pelham Bay,NYPD,Lt. Marcus Webb,Closed,2024-06-15T12:07:58,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000119,2024-06-15T04:01:19,PLUMBING,BROOKLYN,Bushwick,HPD,Director Priya Nair,Closed,2024-06-17T20:56:56,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000120,2024-06-13T06:00:00,Homeless Person Assistance,MANHATTAN,East Village,DHS,Dir. Fatima Hassan,Closed,2024-06-13T20:05:30,,24,NO,The individual accepted shelter placement.
SR-2024-20000121,2024-06-15T03:57:22,PAINT/PLASTER,BRONX,Pelham Bay,HPD,Director Priya Nair,Open,,2.0,168,NO,
SR-2024-20000122,2024-06-14T23:32:30,PAINT/PLASTER,BRONX,Tremont,HPD,Director Priya Nair,Closed,2024-06-17T12:54:14,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000123,2024-06-10T16:00:00,HEAT/HOT WATER,QUEENS,Astoria,HPD,Director Priya Nair,Closed,2024-06-13T12:14:11,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000124,2024-06-09T22:00:00,Street Condition,QUEENS,Flushing,DOT,Dir. Samantha Chen,Closed,2024-06-11T11:04:10,,72,NO,The Department of Transportation inspected and corrected the condition.
SR-2024-20000125,2024-06-11T15:00:00,HEAT/HOT WATER,MANHATTAN,Harlem,HPD,Director Priya Nair,Closed,2024-06-19T06:03:41,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000126,2024-06-14T15:00:07,HEAT/HOT WATER,BROOKLYN,Flatbush,HPD,Director Priya Nair,Closed,2024-06-18T01:32:29,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000127,2024-06-15T02:22:56,Blocked Driveway,BRONX,Tremont,NYPD,Lt. Marcus Webb,Closed,2024-06-15T21:48:51,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000128,2024-06-10T19:00:00,Illegal Parking,QUEENS,Jamaica,NYPD,Lt. Marcus Webb,Closed,2024-06-11T10:25:11,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000129,2024-06-14T14:15:16,Illegal Parking,STATEN ISLAND,New Dorp,NYPD,Lt. Marcus Webb,Open,,15.7,24,NO,
SR-2024-20000130,2024-06-08T07:00:00,Illegal Parking,BROOKLYN,Crown Heights,NYPD,Lt. Marcus Webb,Open,,167.0,24,YES,
SR-2024-20000131,2024-06-14T13:12:19,Blocked Driveway,QUEENS,Flushing,NYPD,Lt. Marcus Webb,Closed,2024-06-15T12:41:40,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000132,2024-06-14T08:42:47,Noise - Residential,BROOKLYN,Crown Heights,NYPD,Lt. Marcus Webb,Closed,2024-06-14T16:16:39,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000133,2024-06-14T20:01:56,Street Condition,BRONX,Pelham Bay,DOT,Dir. Samantha Chen,Closed,2024-06-16T18:18:19,,72,NO,A work order was issued for repair.
SR-2024-20000134,2024-06-14T17:19:21,Blocked Driveway,QUEENS,Flushing,NYPD,Lt. Marcus Webb,Open,,12.7,24,NO,
SR-2024-20000135,2024-06-12T19:00:00,Illegal Parking,BROOKLYN,Crown Heights,NYPD,Lt. Marcus Webb,Closed,2024-06-13T08:16:14,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000136,2024-06-14T13:41:44,PLUMBING,BROOKLYN,Williamsburg,HPD,Director Priya Nair,Closed,2024-06-17T14:03:41,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000137,2024-06-14T21:30:53,Street Condition,BROOKLYN,Crown Heights,DOT,Dir. Samantha Chen,Open,,8.5,72,NO,
SR-2024-20000138,2024-06-14T14:48:56,Noise - Street/Sidewalk,BRONX,Pelham Bay,NYPD,Lt. Marcus Webb,Closed,2024-06-15T07:57:09,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000139,2024-06-14T15:51:45,PAINT/PLASTER,QUEENS,Forest Hills,HPD,Director Priya Nair,Open,,14.1,168,NO,
SR-2024-20000140,2024-06-14T22:55:05,Homeless Person Assistance,QUEENS,Jamaica,DHS,Dir. Fatima Hassan,Closed,2024-06-16T00:02:51,,24,NO,The individual accepted shelter placement.
SR-2024-20000141,2024-06-11T20:00:00,Graffiti,BRONX,Tremont,DSNY,Supt. Carlos Rivera,Closed,2024-06-13T21:03:52,,48,NO,The Department of Sanitation responded and addressed the condition.
SR-2024-20000142,2024-06-15T03:19:11,HEAT/HOT WATER,BROOKLYN,Williamsburg,HPD,Director Priya Nair,Closed,2024-06-20T22:21:26,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000143,2024-06-12T17:00:00,Illegal Parking,BROOKLYN,Flatbush,NYPD,Lt. Marcus Webb,Closed,2024-06-13T03:59:50,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000144,2024-06-14T22:51:48,Noise - Commercial,BRONX,Riverdale,NYPD,Lt. Marcus Webb,Open,,7.1,24,NO,
SR-2024-20000145,2024-06-10T07:00:00,Noise - Commercial,MANHATTAN,Washington Heights,NYPD,Lt. Marcus Webb,Closed,2024-06-10T23:56:13,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000146,2024-06-14T16:07:47,Rodent,QUEENS,Forest Hills,DOHMH,Dr. James Okafor,Open,,13.9,72,NO,
SR-2024-20000147,2024-06-15T04:39:44,Request Large Bulky Item Collection,BRONX,Fordham,DSNY,Supt. Carlos Rivera,Closed,2024-06-15T20:11:04,,48,NO,Item was collected during the next scheduled pickup.
SR-2024-20000148,2024-06-09T06:00:00,Illegal Parking,BRONX,Mott Haven,NYPD,Lt. Marcus Webb,Open,,144.0,24,YES,
SR-2024-20000149,2024-06-15T00:40:55,PLUMBING,BROOKLYN,Bushwick,HPD,Director Priya Nair,Open,,5.3,168,NO,
